day,energy_spent,items_spawned,quests_done,coins_earned,coins_balance,xp_earned,xp_total,level,restoration_step,sakura_t3,sakura_t5,sakura_t7,sushi_t5,sushi_t6,lantern_t5
1,225,450,6.2,66,66,109,109,2,0,4.8,0.1,0.0,0.1,0.0,0.1
2,225,450,6.2,66,31,109,219,2,1,12.6,0.3,0.0,0.3,0.0,0.3
3,225,450,6.2,66,97,109,328,2,1,25.4,0.8,0.0,0.8,0.0,0.8
4,225,450,6.2,263,359,387,716,3,1,38.9,1.2,0.01,1.2,0.1,1.2
5,225,450,6.2,263,222,387,1103,4,2,51.6,2.0,0.01,2.1,0.2,2.1
6,225,450,6.2,263,484,387,1491,5,2,62.9,3.1,0.02,3.3,0.3,3.3
7,225,450,6.2,263,147,387,1878,5,3,72.5,4.7,0.04,4.9,0.5,4.9
8,225,450,6.2,263,409,387,2266,6,3,80.5,6.7,0.06,7.0,0.8,6.9
9,225,450,6.2,263,672,387,2653,6,3,86.9,9.0,0.1,9.4,1.2,9.2
10,225,450,6.2,263,934,387,3041,6,3,92.0,11.7,0.15,12.1,1.6,11.8
11,225,450,6.2,634,569,894,3934,7,4,96.8,14.0,0.22,13.4,1.8,14.0
12,225,450,6.2,634,1203,894,4828,8,4,100.5,16.5,0.29,16.0,2.1,16.5
13,225,450,6.2,634,338,894,5722,8,5,103.4,17.2,0.38,18.8,2.5,19.2
14,225,450,6.2,634,972,894,6616,9,5,105.6,20.3,0.48,21.8,3.0,22.1
15,225,450,6.2,634,1606,894,7509,9,5,107.3,23.5,0.6,24.9,3.5,25.1
16,225,450,6.2,634,241,894,8403,10,6,108.6,26.7,0.74,28.0,4.2,25.2
17,225,450,6.2,634,875,894,9297,10,6,109.5,30.0,0.9,31.2,5.0,28.6
18,225,450,6.2,634,1509,894,10191,11,6,110.3,33.2,1.09,34.4,5.8,31.9
19,225,450,6.2,634,2144,894,11084,11,6,110.8,36.4,1.3,37.5,6.7,35.2
20,225,450,6.2,634,2778,894,11978,12,6,111.2,39.5,1.55,40.5,7.7,38.4
21,225,450,6.2,1228,506,1669,13647,12,7,111.5,42.9,1.72,43.8,6.9,41.9
22,225,450,6.2,1228,1734,1669,15316,13,7,111.8,46.1,1.91,47.0,7.3,45.2
23,225,450,6.2,1228,2963,1669,16984,13,7,112.0,49.3,2.11,50.1,7.8,48.5
24,225,450,6.2,1228,4191,1669,18653,14,7,112.1,52.3,2.32,53.1,8.4,51.6
25,225,450,6.2,1228,5419,1669,20322,14,7,112.2,55.3,2.56,56.0,9.1,54.5
26,225,450,6.2,1228,647,1669,21991,15,8,112.3,58.1,1.81,58.7,9.8,57.4
27,225,450,6.2,1228,1875,1669,23659,15,8,112.3,60.7,2.09,61.3,10.6,60.1
28,225,450,6.2,1228,3103,1669,25328,16,8,112.4,63.2,2.4,63.8,11.5,62.6
29,225,450,6.2,1228,4331,1669,26997,16,8,112.4,65.6,2.74,66.1,12.4,65.1
30,225,450,6.2,1228,5559,1669,28666,17,8,112.4,67.8,3.1,68.3,13.3,67.3
